type,id,sentiment_body_p,sentiment_body_s,sentiment_title_p,sentiment_title_s,published
Mercedes,5467415978,positive,0.4,positive,0.54,2023-03-31T21:10:04Z
Mercedes,5467421423,positive,0.62,neutral,0.65,2023-03-31T21:09:48Z
Mercedes,5467418018,positive,0.68,neutral,0.52,2023-03-31T21:09:45Z
Mercedes,5467414297,negative,0.93,neutral,0.96,2023-03-31T21:09:39Z
Mercedes,5467418239,negative,0.54,neutral,0.87,2023-03-31T21:09:36Z
Mercedes,5467418168,negative,0.69,neutral,0.52,2023-03-31T21:09:24Z
Mercedes,5467419424,positive,1.0,neutral,0.52,2023-03-31T21:09:12Z
Mercedes,5467410415,positive,0.42,neutral,0.68,2023-03-31T21:08:58Z
Mercedes,5467416786,neutral,0.49,neutral,0.9,2023-03-31T21:08:31Z
Mercedes,5467416881,neutral,1.0,neutral,0.98,2023-03-31T21:08:31Z
Mercedes,5467415928,positive,0.75,neutral,0.59,2023-03-31T21:08:24Z
Mercedes,5467416348,negative,0.48,neutral,0.88,2023-03-31T21:08:08Z
Mercedes,5467403135,neutral,0.67,neutral,0.41,2023-03-31T21:07:51Z
Mercedes,5467413053,negative,0.49,neutral,0.51,2023-03-31T21:07:37Z
Mercedes,5467402402,positive,0.5,neutral,0.8,2023-03-31T21:07:18Z
Mercedes,5467404367,negative,0.69,neutral,0.77,2023-03-31T21:07:09Z
Mercedes,5467400772,positive,0.98,positive,0.88,2023-03-31T21:07:04Z
Mercedes,5467400782,positive,0.88,neutral,0.58,2023-03-31T21:06:47Z
Mercedes,5467399130,negative,0.76,neutral,0.59,2023-03-31T21:06:37Z
Mercedes,5467401838,negative,0.94,neutral,0.68,2023-03-31T21:06:35Z
Mercedes,5467399349,positive,0.98,negative,0.96,2023-03-31T21:06:28Z
Mercedes,5467399601,neutral,0.72,neutral,0.74,2023-03-31T21:06:28Z
Mercedes,5467400487,positive,0.91,negative,0.89,2023-03-31T21:06:22Z
