type,id,sentiment_body_p,sentiment_body_s,sentiment_title_p,sentiment_title_s,published
bmw,5467305354,positive,0.76,neutral,0.83,2023-03-31T20:27:05Z
bmw,5467298092,neutral,0.49,neutral,0.46,2023-03-31T20:26:52Z
bmw,5467292626,positive,1.0,neutral,0.68,2023-03-31T20:25:46Z
bmw,5467297633,positive,0.49,neutral,0.52,2023-03-31T20:25:09Z
bmw,5467293616,neutral,0.63,negative,0.38,2023-03-31T20:24:26Z
bmw,5467286130,negative,0.45,negative,0.73,2023-03-31T20:23:34Z
bmw,5467286007,neutral,0.99,neutral,0.54,2023-03-31T20:21:17Z
bmw,5467286052,positive,0.99,neutral,0.64,2023-03-31T20:21:14Z
bmw,5467284161,positive,0.83,neutral,0.74,2023-03-31T20:20:40Z
bmw,5467284606,positive,1.0,neutral,0.91,2023-03-31T20:20:35Z
bmw,5467280692,positive,0.59,neutral,0.52,2023-03-31T20:19:40Z
bmw,5467278282,positive,0.62,neutral,0.82,2023-03-31T20:18:41Z
bmw,5467277487,positive,0.99,neutral,0.84,2023-03-31T20:18:31Z
bmw,5467272799,positive,0.51,neutral,0.76,2023-03-31T20:18:00Z
bmw,5467275379,neutral,0.56,neutral,0.62,2023-03-31T20:17:24Z
bmw,5467266890,positive,0.76,neutral,0.66,2023-03-31T20:17:17Z
bmw,5467271044,negative,0.95,positive,0.59,2023-03-31T20:16:49Z
bmw,5467282359,negative,0.42,neutral,0.49,2023-03-31T20:16:46Z
bmw,5467269028,positive,0.64,neutral,0.77,2023-03-31T20:16:10Z
bmw,5467268394,positive,0.55,neutral,0.52,2023-03-31T20:16:00Z
