type,id,sentiment_body_p,sentiment_body_s,sentiment_title_p,sentiment_title_s,published
Hyundai,5467264535,positive,0.67,neutral,0.78,2023-03-31T20:16:43Z
Hyundai,5467271056,neutral,0.95,neutral,0.55,2023-03-31T20:16:06Z
Hyundai,5467266377,positive,0.99,neutral,0.44,2023-03-31T20:15:01Z
Hyundai,5467266484,positive,0.98,neutral,0.44,2023-03-31T20:14:58Z
Hyundai,5467264526,positive,0.95,neutral,0.78,2023-03-31T20:14:24Z
Hyundai,5467264607,positive,0.99,neutral,0.44,2023-03-31T20:14:19Z
Hyundai,5467255106,negative,0.44,neutral,0.49,2023-03-31T20:13:55Z
Hyundai,5467263050,positive,0.98,neutral,0.44,2023-03-31T20:13:44Z
Hyundai,5467247839,positive,0.8,neutral,0.81,2023-03-31T20:12:21Z
Hyundai,5467254691,neutral,0.76,neutral,0.81,2023-03-31T20:12:04Z
Hyundai,5467257311,negative,0.8,neutral,0.92,2023-03-31T20:11:48Z
Hyundai,5467256505,positive,0.99,neutral,0.45,2023-03-31T20:11:24Z
Hyundai,5467255859,positive,0.9,neutral,0.74,2023-03-31T20:11:13Z
Hyundai,5467250530,positive,0.99,neutral,0.52,2023-03-31T20:10:50Z
Hyundai,5467252332,negative,0.94,negative,0.68,2023-03-31T20:10:19Z
Hyundai,5467252387,neutral,0.46,neutral,0.78,2023-03-31T20:10:19Z
Hyundai,5467252398,positive,0.94,neutral,0.87,2023-03-31T20:10:15Z
Hyundai,5467244771,positive,0.99,neutral,0.7,2023-03-31T20:09:46Z
Hyundai,5467248693,positive,1,neutral,0.88,2023-03-31T20:08:49Z
Hyundai,5467246225,neutral,0.76,neutral,0.81,2023-03-31T20:08:41Z
Hyundai,5467242243,positive,0.97,neutral,0.75,2023-03-31T20:08:12Z
Hyundai,5467238758,negative,0.75,neutral,0.69,2023-03-31T20:07:41Z
Hyundai,5467243029,positive,0.51,neutral,0.81,2023-03-31T20:07:30Z
