1 Series,bmw,2001.0,13000.0,Manual,22633.0,Petrol,125.0,53.3,0.0,12.0,4.0,0.0,0.0
1 Series,bmw,2004.0,2495.0,Manual,112000.0,Diesel,200.0,49.6,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2006.0,2995.0,Manual,90000.0,Diesel,200.0,49.6,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2010.0,4995.0,Manual,93800.0,Diesel,30.0,62.8,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2010.0,6275.0,Manual,60000.0,Diesel,125.0,60.1,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2010.0,7450.0,Automatic,75000.0,Diesel,165.0,52.3,2.0,12.0,4.0,2.0,1.0
1 Series,bmw,2010.0,7990.0,Automatic,60000.0,Diesel,145.0,53.3,2.0,12.0,4.0,2.0,1.0
1 Series,bmw,2011.0,4995.0,Manual,59326.0,Petrol,165.0,46.3,2.0,12.0,4.0,0.0,0.0
1 Series,bmw,2011.0,7750.0,Manual,78889.0,Diesel,150.0,55.4,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2012.0,5295.0,Manual,95360.0,Diesel,30.0,62.8,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2012.0,5495.0,Manual,73853.0,Diesel,125.0,60.1,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2012.0,6495.0,Manual,78600.0,Petrol,145.0,49.6,1.6,12.0,4.0,0.0,0.0
1 Series,bmw,2012.0,6995.0,Manual,93697.0,Diesel,125.0,60.1,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2012.0,7149.0,Manual,71842.0,Diesel,30.0,62.8,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2012.0,7500.0,Manual,62000.0,Petrol,145.0,49.6,1.6,12.0,4.0,0.0,0.0
1 Series,bmw,2012.0,7995.0,Automatic,54792.0,Diesel,145.0,53.3,2.0,12.0,4.0,2.0,1.0
1 Series,bmw,2012.0,7995.0,Manual,63635.0,Diesel,30.0,62.8,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2012.0,8400.0,Manual,31609.0,Diesel,30.0,62.8,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2012.0,10975.0,Manual,45000.0,Diesel,145.0,56.5,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2012.0,10995.0,Manual,28000.0,Diesel,125.0,58.9,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,6395.0,Manual,93000.0,Diesel,0.0,74.3,1.6,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,6450.0,Manual,90000.0,Diesel,30.0,65.7,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,6990.0,Manual,66000.0,Diesel,125.0,60.1,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,6990.0,Manual,84000.0,Diesel,20.0,68.9,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,6998.0,Manual,57125.0,Petrol,150.0,49.6,1.6,12.0,4.0,0.0,0.0
1 Series,bmw,2013.0,7300.0,Manual,67444.0,Petrol,145.0,50.4,1.6,12.0,4.0,0.0,0.0
1 Series,bmw,2013.0,7500.0,Manual,63861.0,Diesel,30.0,65.7,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,7579.0,Automatic,81796.0,Diesel,30.0,62.8,2.0,12.0,4.0,2.0,1.0
1 Series,bmw,2013.0,7888.0,Manual,77419.0,Diesel,125.0,60.1,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,7940.0,Manual,67916.0,Diesel,30.0,65.7,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,7990.0,Manual,46057.0,Diesel,20.0,68.9,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,7990.0,Manual,65000.0,Diesel,30.0,65.7,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,7991.0,Manual,49479.0,Petrol,125.0,51.4,1.6,12.0,4.0,0.0,0.0
1 Series,bmw,2013.0,8295.0,Manual,71797.0,Diesel,30.0,65.7,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,8485.0,Manual,36075.0,Diesel,30.0,62.8,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,8495.0,Manual,49711.0,Diesel,30.0,65.7,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,8555.0,Manual,55621.0,Diesel,30.0,62.8,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,8990.0,Manual,37233.0,Petrol,150.0,49.6,1.6,12.0,4.0,0.0,0.0
1 Series,bmw,2013.0,8990.0,Manual,62635.0,Diesel,30.0,64.2,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,8999.0,Manual,57000.0,Diesel,30.0,65.7,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,9500.0,Manual,67000.0,Diesel,30.0,62.8,2.0,12.0,4.0,0.0,1.0
1 Series,bmw,2013.0,9700.0,Manual,58689.0,Petrol,145.0,47.9,1.6,12.0,4.0,0.0,0.0
1 Series,bmw,2013.0,9899.0,Manual,32102.0,Petrol,145.0,50.4,1.6,12.0,4.0,0.0,0.0
1 Series,bmw,2013.0,9899.0,Manual,56370.0,Petrol,145.0,50.4,1.6,12.0,4.0,0.0,0.0
1 Series,bmw,2013.0,9990.0,Manual,29000.0,Petrol,145.0,48.7,2.0,12.0,4.0,0.0,0.0
